SalesOrderNumber,OrderDate,Year,Quarter,YearQuarter,Month,ProductKey,Category,Subcategory,ModelName,Color,CustomerKey,CustomerName,Gender,AgeGroup,Education,Region,SalespersonID,SalespersonName,SupervisorName,SalesReasonName,SalesReasonType,Quantity,UnitPrice,UnitCost,SalesAmount,TotalCost,Profit,ShippingDays
SO45394,2006-02-08,2006,Q1,2006-Q1,2,348,Bikes,Mountain Bikes,Mountain-100,Black,11468,Jaclyn Andersen,F,25 - 34,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,24,547.5,365,13140.0,8760,4380.0,7
SO45395,2006-02-08,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,29352,Lydia Gonzalez,F,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,24,375.0,250,9000.0,6000,3000.0,7
SO45396,2006-02-08,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,19594,Suzanne Liu,F,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,4,367.5,245,1470.0,980,490.0,7
SO45397,2006-02-09,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,15051,Harold McDonald,M,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,6,375.0,250,2250.0,1500,750.0,7
SO45398,2006-02-09,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,15059,Lisa Zhu,F,45 - 54,Graduate Degree,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,12,367.5,245,4410.0,2940,1470.0,7
SO45399,2006-02-09,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,19598,Kaitlyn Powell,F,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,18,360.0,240,6480.0,4320,2160.0,7
SO45400,2006-02-10,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,14162,Brett Garcia,M,35 - 44,Graduate Degree,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,18,375.0,250,6750.0,4500,2250.0,7
SO45401,2006-02-10,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,15058,Julio Suarez,M,45 - 54,Graduate Degree,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,40,352.5,235,14100.0,9400,4700.0,7
SO45402,2006-02-10,2006,Q1,2006-Q1,2,344,Bikes,Mountain Bikes,Mountain-100,Silver,11413,Megan Stewart,F,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,40,517.5,345,20700.0,13800,6900.0,7
SO45403,2006-02-10,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,23114,Caroline Washington,F,35 - 44,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,20,382.5,255,7650.0,5100,2550.0,7
SO45404,2006-02-10,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,11217,Natalie Adams,F,55 - 64,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,12,352.5,235,4230.0,2820,1410.0,7
SO45405,2006-02-10,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,23209,Lucas Lewis,M,35 - 44,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,12,367.5,245,4410.0,2940,1470.0,7
SO45406,2006-02-10,2006,Q1,2006-Q1,2,351,Bikes,Mountain Bikes,Mountain-100,Black,25987,Hunter Kumar,M,45 - 54,High School,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,12,570.0,380,6840.0,4560,2280.0,7
SO45407,2006-02-10,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,29285,Thomas Adams,M,55 - 64,High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,1,382.5,255,382.5,255,127.5,7
SO45408,2006-02-10,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,29326,Victoria Diaz,F,25 - 34,High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,13,382.5,255,4972.5,3315,1657.5,7
SO45409,2006-02-10,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,19612,Marvin Sanz,M,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,55,367.5,245,20212.5,13475,6737.5,7
SO45410,2006-02-11,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,14149,Donald Srini,M,45 - 54,Bachelors,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,11,352.5,235,3877.5,2585,1292.5,7
SO45411,2006-02-11,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,28197,Kayla Rodriguez,F,45 - 54,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,11,375.0,250,4125.0,2750,1375.0,7
SO45412,2006-02-11,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,23137,Chloe Sanders,F,45 - 54,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,11,352.5,235,3877.5,2585,1292.5,7
SO45413,2006-02-11,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,11191,Kristi Perez,F,55 - 64,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,11,367.5,245,4042.5,2695,1347.5,7
SO45414,2006-02-11,2006,Q1,2006-Q1,2,330,Bikes,Road Bikes,Road-650,Red,18038,Kelli Kumar,F,25 - 34,Partial College,France,7,King Landry,Benn Pitt,Price,Other,2,465.0,310,930.0,620,310.0,7
SO45415,2006-02-11,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28092,Morgan Hall,F,25 - 34,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,2,367.5,245,735.0,490,245.0,7
SO45416,2006-02-11,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,28161,Jessica Perry,F,45 - 54,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,6,352.5,235,2115.0,1410,705.0,7
SO45417,2006-02-11,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,28620,Cole Richardson,M,45 - 54,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,2,352.5,235,705.0,470,235.0,7
SO45418,2006-02-11,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,19264,Kristopher Gonzalez,M,25 - 34,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,1,360.0,240,360.0,240,120.0,7
SO45419,2006-02-11,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,19555,Alejandro Liu,M,35 - 44,Graduate Degree,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,382.5,255,2295.0,1530,765.0,7
SO45420,2006-02-11,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19561,Orlando Serrano,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,2,375.0,250,750.0,500,250.0,7
SO45421,2006-02-11,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19576,Mackenzie Hill,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,2,375.0,250,750.0,500,250.0,7
SO45422,2006-02-12,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,28198,Jared Moyer,M,45 - 54,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,6,352.5,235,2115.0,1410,705.0,7
SO45423,2006-02-12,2006,Q1,2006-Q1,2,348,Bikes,Mountain Bikes,Mountain-100,Black,19997,Beth Gill,F,35 - 44,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Price,Other,2,547.5,365,1095.0,730,365.0,7
SO45424,2006-02-12,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,28165,Alexa Rivera,F,45 - 54,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,30,360.0,240,10800.0,7200,3600.0,7
SO45425,2006-02-13,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,15056,Jaime Suarez,F,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,10,352.5,235,3525.0,2350,1175.0,7
SO45426,2006-02-13,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,14164,Kari Smith,F,35 - 44,Graduate Degree,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,15,367.5,245,5512.5,3675,1837.5,7
SO45427,2006-02-13,2006,Q1,2006-Q1,2,349,Bikes,Mountain Bikes,Mountain-100,Black,29481,Ivan Suri,M,45 - 54,Graduate Degree,Germany,8,Meerab Yang,Rudi Chung,Price,Other,48,555.0,370,26640.0,17760,8880.0,7
SO45428,2006-02-13,2006,Q1,2006-Q1,2,346,Bikes,Mountain Bikes,Mountain-100,Silver,11414,Ian Richardson,M,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,10,532.5,355,5325.0,3550,1775.0,7
SO45429,2006-02-13,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,28129,Justin Griffin,M,25 - 34,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,10,352.5,235,3525.0,2350,1175.0,7
SO45430,2006-02-13,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28176,Natalie Roberts,F,35 - 44,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,10,367.5,245,3675.0,2450,1225.0,7
SO45431,2006-02-13,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,28013,James Miller,M,55 - 64,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,5,360.0,240,1800.0,1200,600.0,7
SO45432,2006-02-14,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,14167,Pamela Subram,F,55 - 64,Partial College,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,5,367.5,245,1837.5,1225,612.5,7
SO45433,2006-02-14,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,12547,Bradley Nara,M,45 - 54,Bachelors,France,7,King Landry,Benn Pitt,Manufacturer,Other,30,352.5,235,10575.0,7050,3525.0,7
SO45434,2006-02-14,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,11252,Nicholas Thompson,M,65+,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,48,360.0,240,17280.0,11520,5760.0,7
SO45435,2006-02-14,2006,Q1,2006-Q1,2,336,Bikes,Road Bikes,Road-650,Black,20562,Jim Rodman,F,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,15,487.5,325,7312.5,4875,2437.5,7
SO45436,2006-02-14,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28130,Joshua Taylor,M,35 - 44,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,15,367.5,245,5512.5,3675,1837.5,7
SO45437,2006-02-14,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28169,Lucas Blue,M,45 - 54,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,15,367.5,245,5512.5,3675,1837.5,7
SO45438,2006-02-14,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,29334,Paige Howard,F,25 - 34,Partial High School,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,15,352.5,235,5287.5,3525,1762.5,7
SO45439,2006-02-14,2006,Q1,2006-Q1,2,326,Bikes,Road Bikes,Road-650,Red,25823,Jaime Xie,M,35 - 44,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,15,450.0,300,6750.0,4500,2250.0,7
SO45440,2006-02-15,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,14198,Daisy Romero,F,55 - 64,High School,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,15,367.5,245,5512.5,3675,1837.5,7
SO45441,2006-02-15,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,11216,Jasmine Torres,F,55 - 64,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,30,367.5,245,11025.0,7350,3675.0,7
SO45442,2006-02-15,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,29335,Justin Bryant,M,25 - 34,Partial High School,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,15,382.5,255,5737.5,3825,1912.5,7
SO45443,2006-02-15,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,29350,Julia Thompson,F,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,15,375.0,250,5625.0,3750,1875.0,7
SO45444,2006-02-15,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19102,Claudia Ye,F,35 - 44,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,15,352.5,235,5287.5,3525,1762.5,7
SO45445,2006-02-15,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19105,Stacy Dominguez,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,30,352.5,235,10575.0,7050,3525.0,7
SO45446,2006-02-16,2006,Q1,2006-Q1,2,345,Bikes,Mountain Bikes,Mountain-100,Silver,25990,Jenna Parker,F,45 - 54,Bachelors,United States,1,Aahil Mullen,Benn Pitt,Price,Other,15,525.0,350,7875.0,5250,2625.0,7
SO45447,2006-02-16,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19558,Gloria Ortega,F,35 - 44,Graduate Degree,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,15,375.0,250,5625.0,3750,1875.0,7
SO45448,2006-02-16,2006,Q1,2006-Q1,2,324,Bikes,Road Bikes,Road-650,Red,25718,Terrance Martinez,M,25 - 34,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,15,442.5,295,6637.5,4425,2212.5,7
SO45449,2006-02-17,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,14189,Krista Martin,F,55 - 64,High School,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,15,352.5,235,5287.5,3525,1762.5,7
SO45450,2006-02-17,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28624,Carson Jenkins,M,45 - 54,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,30,367.5,245,11025.0,7350,3675.0,7
SO45451,2006-02-17,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,29279,Hailey Turner,F,55 - 64,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,15,360.0,240,5400.0,3600,1800.0,7
SO45452,2006-02-17,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,19559,Cedric Cai,M,35 - 44,Graduate Degree,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,72,382.5,255,27540.0,18360,9180.0,7
SO45453,2006-02-18,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,12549,Donna Xie,F,45 - 54,Partial College,France,7,King Landry,Benn Pitt,Manufacturer,Other,60,360.0,240,21600.0,14400,7200.0,7
SO45454,2006-02-18,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,23074,Megan Flores,F,65+,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,2,367.5,245,735.0,490,245.0,7
SO45455,2006-02-19,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,14163,Ebony Garcia,F,35 - 44,Graduate Degree,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,1,352.5,235,352.5,235,117.5,7
SO45456,2006-02-19,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,23113,Elijah Powell,M,35 - 44,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,60,367.5,245,22050.0,14700,7350.0,7
SO45457,2006-02-19,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,27752,Christian Butler,M,25 - 34,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,30,375.0,250,11250.0,7500,3750.0,7
SO45458,2006-02-19,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,19599,Alvin Jai,M,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,11,360.0,240,3960.0,2640,1320.0,7
SO45459,2006-02-19,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19605,Brad Shan,M,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,11,352.5,235,3877.5,2585,1292.5,7
SO45460,2006-02-19,2006,Q1,2006-Q1,2,334,Bikes,Road Bikes,Road-650,Black,25822,Julio Navarro,M,35 - 44,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,1,480.0,320,480.0,320,160.0,7
SO45461,2006-02-20,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,28646,Alexis Moore,F,35 - 44,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,3,360.0,240,1080.0,720,360.0,7
SO45462,2006-02-20,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,28647,Hannah Foster,F,35 - 44,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,15,352.5,235,5287.5,3525,1762.5,7
SO45463,2006-02-20,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,11171,Jonathan Hill,M,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,15,367.5,245,5512.5,3675,1837.5,7
SO45464,2006-02-20,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,19586,Alvin Sharma,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,20,382.5,255,7650.0,5100,2550.0,7
SO45465,2006-02-20,2006,Q1,2006-Q1,2,342,Bikes,Road Bikes,Road-650,Black,25819,Carlos Morgan,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,70,510.0,340,35700.0,23800,11900.0,7
SO45466,2006-02-21,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,19611,Meagan Prasad,F,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,20,360.0,240,7200.0,4800,2400.0,7
SO45467,2006-02-22,2006,Q1,2006-Q1,2,345,Bikes,Mountain Bikes,Mountain-100,Silver,11422,Dustin Deng,M,55 - 64,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,70,525.0,350,36750.0,24500,12250.0,7
SO45468,2006-02-22,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,23164,Kyle Bryant,M,35 - 44,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,10,360.0,240,3600.0,2400,1200.0,7
SO45469,2006-02-22,2006,Q1,2006-Q1,2,350,Bikes,Mountain Bikes,Mountain-100,Black,19989,Ethan Thompson,M,35 - 44,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Price,Other,10,562.5,375,5625.0,3750,1875.0,7
SO45470,2006-02-22,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28177,Cameron Henderson,M,35 - 44,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,10,367.5,245,3675.0,2450,1225.0,7
SO45471,2006-02-22,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,29280,Erin Cook,F,55 - 64,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,20,375.0,250,7500.0,5000,2500.0,7
SO45472,2006-02-22,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19095,Meredith Martinez,F,35 - 44,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,20,375.0,250,7500.0,5000,2500.0,7
SO45473,2006-02-22,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19592,Tara Xu,F,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,48,352.5,235,16920.0,11280,5640.0,7
SO45474,2006-02-22,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19595,Carl Raji,M,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,48,352.5,235,16920.0,11280,5640.0,7
SO45475,2006-02-22,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19601,Alfredo Suarez,M,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,24,375.0,250,9000.0,6000,3000.0,7
SO45476,2006-02-22,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,19614,Wyatt Williams,M,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,60,382.5,255,22950.0,15300,7650.0,7
SO45477,2006-02-23,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,14160,Brittney Hu,F,35 - 44,Graduate Degree,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45478,2006-02-23,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,29354,Isaiah Edwards,M,35 - 44,Graduate Degree,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45479,2006-02-23,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19099,Sheena Deng,F,35 - 44,Partial High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45480,2006-02-23,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19564,Lawrence Gutierrez,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45481,2006-02-23,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19563,Robin Moreno,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45482,2006-02-24,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,12522,Brandy Sanchez,F,25 - 34,High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,14,352.5,235,4935.0,3290,1645.0,7
SO45483,2006-02-24,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,14181,Adriana Chandra,F,55 - 64,Bachelors,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,14,382.5,255,5355.0,3570,1785.0,7
SO45484,2006-02-24,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,23267,Juan James,M,45 - 54,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45485,2006-02-24,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,11257,Jacqueline Powell,F,65+,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,28,367.5,245,10290.0,6860,3430.0,7
SO45486,2006-02-24,2006,Q1,2006-Q1,2,324,Bikes,Road Bikes,Road-650,Red,14737,Dominic Srini,M,45 - 54,Partial High School,United States,1,Aahil Mullen,Benn Pitt,Price,Other,14,442.5,295,6195.0,4130,2065.0,7
SO45487,2006-02-24,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,19556,Shawna Andersen,F,35 - 44,Graduate Degree,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45488,2006-02-24,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,19577,Martin Perez,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,360.0,240,5040.0,3360,1680.0,7
SO45489,2006-02-24,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19602,Stanley Madan,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,56,352.5,235,19740.0,13160,6580.0,7
SO45490,2006-02-24,2006,Q1,2006-Q1,2,313,Bikes,Road Bikes,Road-150,Red,22976,Eric Foster,M,25 - 34,High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,375.0,250,5250.0,3500,1750.0,7
SO45491,2006-02-25,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,27672,Justin Brown,M,55 - 64,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,360.0,240,5040.0,3360,1680.0,7
SO45492,2006-02-25,2006,Q1,2006-Q1,2,330,Bikes,Road Bikes,Road-650,Red,19429,Jared Kelly,M,35 - 44,Bachelors,Germany,8,Meerab Yang,Rudi Chung,Price,Other,14,465.0,310,6510.0,4340,2170.0,7
SO45493,2006-02-25,2006,Q1,2006-Q1,2,320,Bikes,Road Bikes,Road-650,Red,14731,Seth Brown,M,55 - 64,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,14,427.5,285,5985.0,3990,1995.0,7
SO45494,2006-02-25,2006,Q1,2006-Q1,2,310,Bikes,Road Bikes,Road-150,Red,19609,Kari Martinez,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,14,352.5,235,4935.0,3290,1645.0,7
SO45495,2006-02-25,2006,Q1,2006-Q1,2,342,Bikes,Road Bikes,Road-650,Black,25821,Krystal Gao,F,35 - 44,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,56,510.0,340,28560.0,19040,9520.0,7
SO45496,2006-02-26,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,29340,Rachel Cox,F,25 - 34,Partial High School,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,382.5,255,5355.0,3570,1785.0,7
SO45497,2006-02-26,2006,Q1,2006-Q1,2,311,Bikes,Road Bikes,Road-150,Red,28354,Ian Wilson,M,35 - 44,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,360.0,240,5040.0,3360,1680.0,7
SO45498,2006-02-26,2006,Q1,2006-Q1,2,312,Bikes,Road Bikes,Road-150,Red,28574,Kayla Flores,F,25 - 34,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,367.5,245,5145.0,3430,1715.0,7
SO45499,2006-02-26,2006,Q1,2006-Q1,2,314,Bikes,Road Bikes,Road-150,Red,28626,Bailey Hernandez,F,45 - 54,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,14,382.5,255,5355.0,3570,1785.0,7
